"Applied filters:
casden is before 01 January 2023";
;
Cesta;Počet cest
B Českomoravská → B Černý Most;284 240
B Náměstí Republiky → B Vysočanská;283 069
C Nádraží Holešovice → C Muzeum;282 737
B Nové Butovice → B Můstek;282 705
B Palmovka → B Karlovo náměstí;282 447
C Pankrác → C Pražského povstání;282 350
B Zličín → B Můstek;282 320
B Náměstí Republiky → B Zličín;281 605
C Vltavská → C Ládví;281 429
A Staroměstská → A Nádraží Veleslavín;281 064
A Náměstí Míru → A Hradčanská;280 888
C Opatov → C Budějovická;280 725
B Stodůlky → B Smíchovské nádraží;280 293
C Ládví → C I. P. Pavlova;279 813
B Lužiny → B Smíchovské nádraží;279 269
C Muzeum → C Florenc;278 272
C Pražského povstání → C Muzeum;277 613
C Budějovická → C Kobylisy;277 100
B Národní třída → B Náměstí Republiky;276 995
A Petřiny → A Dejvická;276 969
C Chodov → C Florenc;276 375
B Můstek → B Zličín;276 108
B Černý Most → B Českomoravská;275 150
C Kobylisy → C Budějovická;274 616
A Skalka → A Muzeum;274 303
C Muzeum → C Háje;274 020
C Hlavní nádraží → C Letňany;273 934
A Dejvická → A Petřiny;273 759
C Opatov → C Muzeum;272 700
A Dejvická → C Hlavní nádraží;270 993
B Florenc → B Smíchovské nádraží;270 706
B Rajská zahrada → B Černý Most;269 432
C I. P. Pavlova → C Ládví;266 046
C Letňany → C Hlavní nádraží;265 587
B Rajská zahrada → B Vysočanská;264 553
B Hůrka → B Smíchovské nádraží;264 055
A Náměstí Míru → A Skalka;263 989
B Stodůlky → B Zličín;263 782
C Ládví → C Muzeum;262 784
B Zličín → B Luka;262 643
B Anděl → B Luka;262 455
A Strašnická → A Muzeum;261 571
C Pražského povstání → C Chodov;261 030
C Háje → C Pankrác;259 427
A Dejvická → A Bořislavka;259 346
C Ládví → C Hlavní nádraží;258 803
B Smíchovské nádraží → B Lužiny;258 369
C Hlavní nádraží → C Ládví;258 110
B Anděl → B Křižíkova;257 735
B Smíchovské nádraží → B Hůrka;257 318
B Křižíkova → B Anděl;257 076
C Roztyly → C I. P. Pavlova;256 500
C Ládví → C Kobylisy;256 351
C Muzeum → C Ládví;255 938
C Muzeum → C Pražského povstání;255 074
C Vltavská → C Budějovická;253 594
B Smíchovské nádraží → B Jinonice;253 437
C Vyšehrad → C Hlavní nádraží;253 100
B Můstek → B Palmovka;252 934
B Anděl → B Lužiny;252 740
A Můstek → A Petřiny;252 557
C Pankrác → C Háje;251 261
C Háje → C Florenc;251 132
A Flora → A Dejvická;250 151
C Vltavská → C Muzeum;249 505
A Skalka → A Dejvická;248 828
C Budějovická → C Vltavská;248 762
B Palmovka → B Národní třída;248 361
B Anděl → B Hůrka;248 285
C Muzeum → C Nádraží Holešovice;248 250
B Zličín → B Stodůlky;247 428
B Lužiny → B Anděl;246 766
A Nádraží Veleslavín → A Muzeum;245 876
C Pankrác → C Vyšehrad;244 469
A Nádraží Veleslavín → A Staroměstská;244 328
A Hradčanská → A Muzeum;243 760
A Petřiny → A Můstek;243 587
C Kobylisy → C Pankrác;243 532
B Karlovo náměstí → B Luka;242 806
B Náměstí Republiky → B Českomoravská;242 452
B Náměstí Republiky → B Můstek;242 314
C Muzeum → C Opatov;241 155
B Lužiny → B Karlovo náměstí;240 173
B Smíchovské nádraží → B Černý Most;240 006
C Pražského povstání → C Florenc;239 610
C Florenc → C Střížkov;238 668
A Muzeum → A Nádraží Veleslavín;238 229
A Náměstí Míru → A Nádraží Veleslavín;237 987
C Florenc → C Háje;237 765
B Vysočanská → B Hloubětín;237 108
A Dejvická → A Želivského;236 853
C Kobylisy → B Anděl;234 880
B Vysočanská → B Můstek;234 726
C Nádraží Holešovice → C Vltavská;234 069
B Luka → B Smíchovské nádraží;233 997
A Muzeum → A Hradčanská;233 676
B Hůrka → B Anděl;233 595
A Malostranská → A Můstek;233 243
B Můstek → B Nové Butovice;233 186
C Opatov → C Háje;232 771
C Chodov → C Pražského povstání;232 596
C Muzeum → C Vyšehrad;232 360
C Vyšehrad → C Muzeum;232 009
A Nemocnice Motol → A Petřiny;231 704
C Kačerov → C Pražského povstání;231 385
A Želivského → A Dejvická;230 770
