"Applied filters:
proele_vazkra_nazpln is Hlavní město Praha
progra_nazpln is Základní územní jednotky";
;
Trasa;Počet cest
Praha 5 →  A Petřiny;95 521
Praha 7 →  A Staroměstská;94 133
Praha 9 →  B Náměstí Republiky;92 182
Praha 10 →  C Kačerov;92 119
Praha 1 →  B Smíchovské nádraží;91 189
Praha 9 →  C Vltavská;91 155
Praha 2 →  A Staroměstská;90 725
Praha 1 →  C Pankrác;90 479
Praha 13 →  B/C Florenc;90 360
Praha 10 →  C Hlavní nádraží;90 115
Praha 2 →  C Pankrác;89 201
Praha 4 →  C Vltavská;89 120
Praha 9 →  C Nádraží Holešovice;87 251
Praha 6 →  B Národní třída;83 753
Praha 1 →  C Pražského povstání;82 833
Praha 13 →  B Karlovo náměstí;82 596
Praha 4 →  B Náměstí Republiky;81 760
Praha 4 →  A Želivského;81 228
Praha-Slivenec →  B Nové Butovice;79 702
Praha-Satalice →  B Rajská zahrada;78 766
Praha 11 →  A/B Můstek;77 092
Praha 10 →  B Anděl;76 965
Praha 17 →  C I. P. Pavlova;76 836
Praha-Zličín →  B Stodůlky;75 811
Praha 3 →  B Národní třída;74 631
Praha 7 →  C Kobylisy;74 494
Praha-Dubeč →  A Skalka;73 939
Praha 1 →  C Budějovická;73 762
Praha 7 →  C I. P. Pavlova;73 191
Praha 3 →  B Karlovo náměstí;72 893
Praha 8 →  B Karlovo náměstí;72 505
Praha-Slivenec →  B Smíchovské nádraží;72 075
Praha 1 →  B Křižíkova;71 147
Praha 8 →  B Národní třída;70 703
Praha-Šeberov →  C Chodov;69 976
Praha 1 →  C Chodov;68 147
Praha 2 →  C Vltavská;68 015
Praha-Čakovice →  B Vysočanská;67 421
Praha 9 →  C Hlavní nádraží;66 918
Praha 9 →  B Křižíkova;66 898
Praha 1 →  B Palmovka;66 606
Praha-Dubeč →  B Černý Most;66 344
Praha 3 →  B Křižíkova;66 034
Praha 4 →  C Nádraží Holešovice;65 785
Praha 10 →  C Budějovická;65 290
Praha 6 →  A Náměstí Míru;64 988
Praha 4 →  C Opatov;64 836
Praha 1 →  A Flora;64 101
Praha 14 →  B Českomoravská;63 747
Praha-Březiněves →  C Ládví;63 608
Praha 4 →  B Národní třída;63 126
Praha 5 →  C Hlavní nádraží;62 511
Praha 14 →  B Náměstí Republiky;62 377
Praha-Zličín →  A Nemocnice Motol;61 834
Praha 2 →  C Budějovická;61 754
Praha 18 →  C Ládví;61 581
Praha 2 →  A Flora;61 568
Praha-Libuš →  B Smíchovské nádraží;61 256
Praha 1 →  C Kobylisy;60 935
Praha 13 →  B Náměstí Republiky;60 833
Praha 3 →  B Anděl;60 744
Praha 15 →  C Chodov;60 363
Praha 5 →  C Vyšehrad;60 324
Praha 12 →  A Staroměstská;60 268
Praha 2 →  B Smíchovské nádraží;60 068
Praha-Běchovice →  B Černý Most;59 791
Praha 5 →  B Lužiny;59 512
Praha 5 →  A Staroměstská;58 920
Praha 10 →  B Náměstí Republiky;58 729
Praha-Kunratice →  C Opatov;58 614
Praha 6 →  B Karlovo náměstí;58 206
Praha-Dolní Měcholupy →  C Háje;58 138
Praha-Libuš →  C Budějovická;58 056
Praha 10 →  C Chodov;58 040
Praha 2 →  C Chodov;57 668
Praha 5 →  A Dejvická;57 405
Praha 16 →  C Hlavní nádraží;56 960
Praha 6 →  C Hlavní nádraží;56 546
Praha 20 →  B Hloubětín;56 530
Praha 11 →  C Vyšehrad;56 147
Praha-Kunratice →  C Roztyly;55 771
Praha 18 →  B Palmovka;55 642
Praha-Čakovice →  B Palmovka;55 608
Praha 8 →  C Prosek;55 370
Praha 5 →  C Vltavská;55 126
Praha 12 →  A/C Muzeum;54 790
Praha 6 →  C Kobylisy;54 754
Praha 9 →  B Anděl;54 657
Praha 13 →  B Národní třída;53 991
Praha 6 →  B Palmovka;53 451
Praha-Satalice →  C Letňany;53 233
Praha-Újezd →  C Háje;53 022
Praha 22 →  C Hlavní nádraží;52 816
Praha 11 →  C Pražského povstání;52 760
Praha 9 →  B Černý Most;52 611
Praha 7 →  B Křižíkova;52 175
Praha 12 →  C Pankrác;52 115
Praha 14 →  A Skalka;52 097
Praha 12 →  A/B Můstek;52 012
Praha 10 →  B Palmovka;51 478
Praha 22 →  A Skalka;51 391
